0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.2364778603818776,-0.7451314133870967,0.9184771676276685,1.0469866784197936,2.7664564848025224,1.0270789116578085,-0.4282895663715403,1,1,0.3015965221644228,0.7513817195130245,0.9486851337884906,0.11652889061030947,0.6632680751257117,0.8299060507671803,0.5955359504913618,0.16832307892810272,0.6867356651946698,0.1817187753258569,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2.2481943623946683,0.9498167893630399,-0.8701833340815202,-0.7659772668958666,-1.1914039404570154,-0.7049259983890862,-0.4282895663715403,0,1,0.3069760997511687,0.9735716080064296,0.8243950636113185,0.7896673533180706,0.8576918300907952,0.9386742595239738,0.3195870670849995,0.24062562523299913,0.09932386313792818,0.574135451914456,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.738667542842371,-0.4165624079606273,-0.8701833340815202,0.1405047057619635,1.1833123146987072,-0.7049259983890862,2.3348689263480744,0,1,0.455577416535632,0.8793274993468492,0.8980427901990264,0.4414539036623786,0.7761674134918715,0.3293829462660486,0.2521296089271893,0.736684317278563,0.14823832164370776,0.3612170613831126,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1.7503840448551617,1.634246939825297,-0.8701833340815202,1.0469866784197936,0.8315024991200816,-0.7049259983890862,2.3348689263480744,0,1,0.9120646519044548,0.9497026828418259,0.27543032897547437,0.2501180942248007,0.41592131707668256,0.11038646720126266,0.13186244505748224,0.8980560322767218,0.9365594768733119,0.04555867152277826,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.2569530922366421,0.5666635047179338,0.024146916773074168,1.0469866784197936,1.5351221302773328,1.0270789116578085,2.3348689263480744,0,1,0.8175117837631439,0.1451582706216803,0.7260617111843809,0.26935754029139836,0.5694073700213043,0.5978915842364562,0.7543689011114627,0.15845077159637955,0.9108603074473067,0.5270881687080785,1
0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1.2525737273156552,2.0500090146529657,-0.8701833340815202,1.0469866784197936,-0.048022039826482336,-0.7049259983890862,2.3348689263480744,1,1,0.5585658685016626,0.19560065216743305,0.027580388851922044,0.7488660385584656,0.5825932378928507,0.39947273772072267,0.7255420867303687,0.5257294204772508,0.8635597833468326,0.7453007829404721,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0.2569530922366421,-0.1546287563854807,0.024146916773074168,1.0469866784197936,1.5351221302773328,-0.7049259983890862,-0.4282895663715403,0,1,0.8407523824823008,0.5787695512109413,0.17349482513947978,0.1901166613909745,0.01958752319210877,0.7242594001451192,0.744464283635162,0.6559945875241225,0.835857566939401,0.9986315412735407,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1.2525737273156552,1.3031968307979807,-0.8701833340815202,-0.7659772668958666,-0.048022039826482336,-0.7049259983890862,-0.4282895663715403,1,1,0.7105093570759051,0.21865386035957834,0.031691361790279204,0.5879252227556572,0.2078871375204565,0.3405490171368236,0.11242316690637943,0.7454827993223226,0.14842410237238046,0.8211497088408405,0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.738667542842371,-0.07523344115837269,-0.8701833340815202,1.0469866784197936,2.238741761434584,-0.7049259983890862,-0.4282895663715403,0,1,0.38277935069678914,0.7281517177601107,0.5269844614492163,0.15705531352481705,0.13909648231978167,0.7405328477562834,0.7242528052934555,0.6170033939249409,0.2997594048122276,0.9995390033881676,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0.7547634097761486,0.6956808919619843,0.9184771676276685,-0.7659772668958666,-0.6636892170890771,1.0270789116578085,-0.4282895663715403,0,1,0.5226618071719947,0.2032659150638898,0.08590153277237556,0.5716420874826457,0.2706122412847344,0.37378598461036017,0.09141535506777698,0.22004339100396264,0.6678182585332559,0.838335052832466,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.738667542842371,-0.7004715485718485,0.024146916773074168,-1.6724592395536968,-0.9275465787730462,-0.7049259983890862,-0.4282895663715403,0,1,0.7246781703159876,0.6179324761226298,0.2887381118105252,0.7128946170956413,0.6229160787962634,0.2882729552404423,0.9066825154168542,0.058495419338267185,0.7949604844101028,0.8657071247845758,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2.2481943623946683,0.3674663299070645,0.024146916773074168,1.0469866784197936,-1.0154990326677027,-0.7049259983890862,-0.4282895663715403,0,1,0.5875281269728293,0.7858976991460959,0.9391324378524468,0.38348951520580643,0.6951114721762903,0.30021281307075887,0.8714020393395862,0.058701100219267444,0.5988605182030395,0.6301176298493866,1
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,-0.738667542842371,-0.6040629515103602,-1.7645135849361147,-1.6724592395536968,-1.1914039404570154,-0.7049259983890862,-0.4282895663715403,1,1,0.7306852010236647,0.7895562737985083,0.5503392724824735,0.8772443207971319,0.3101243840061454,0.9704385843442705,0.25315804326801916,0.09928872278490775,0.3541821428857075,0.014601791181294566,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0.2569530922366421,-0.734498112240609,0.9184771676276685,1.0469866784197936,2.1507893075399274,1.0270789116578085,-0.4282895663715403,0,1,0.3908119921181713,0.2826325825876215,0.5884333756165527,0.30683643272678296,0.9190085907663079,0.62893365268078,0.8510100266032603,0.6037939288394653,0.8835757327248203,0.6679266077786352,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,-0.4897623840726178,-0.6621916644444927,-0.8701833340815202,1.0469866784197936,-0.6636892170890771,-0.7049259983890862,-0.4282895663715403,0,1,0.5865130737321512,0.40566076529378914,0.6073907879577963,0.8919492888287318,0.41273800866214483,0.9775216272284046,0.9547660213837584,0.18948368757866507,0.12353111317168941,0.5932906901603459,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0.2569530922366421,-0.7050793124019931,0.9184771676276685,-0.7659772668958666,-0.3118794015104515,-0.7049259983890862,-0.4282895663715403,0,1,0.1466565192191951,0.465774621969987,0.03888474475850723,0.23209319865310174,0.2365508916318524,0.18809393354035386,0.5074005479491291,0.49567278121277514,0.017857276035247116,0.3187006974197034,1
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0.2569530922366421,-0.30030498209236195,0.9184771676276685,1.0469866784197936,1.5351221302773328,1.0270789116578085,-0.4282895663715403,0,1,0.6819593578374274,0.20736170774977725,0.7178839863069473,0.13481298501033945,0.7598762270617757,0.9595233282755804,0.8284428370412432,0.6730385368444958,0.20658077736935887,0.9708846740801301,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0.7547634097761486,1.701591180419719,-0.8701833340815202,0.1405047057619635,-0.9275465787730462,2.7590838217047033,-0.4282895663715403,0,1,0.7980653293026859,0.21682767078436893,0.3956797288762419,0.6095503065683654,0.6039864860718249,0.40914739636082265,0.24059969417966676,0.04793608265115168,0.20030066462231755,0.269318304202565,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0.2569530922366421,3.2990674559937188,0.9184771676276685,-0.7659772668958666,0.7435500452254252,-0.7049259983890862,-0.4282895663715403,1,1,0.29516791214681126,0.8907800456641356,0.59511726598293,0.742909908812142,0.042849965010666735,0.7067065570123208,0.23095164480675934,0.8375813816551442,0.5262721576677315,0.4506097187806518,1
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0.2569530922366421,0.056265049686524994,0.024146916773074168,-0.7659772668958666,-0.3998318554051079,-0.7049259983890862,2.3348689263480744,1,1,0.3760841089532133,0.0885907372450827,0.634842873794599,0.7946121212497783,0.6188858260522789,0.7816230607813036,0.8939841989487434,0.0514806424934805,0.4804326616433102,0.15112178292284062,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,-0.9875727016121243,-0.4030935598417429,0.9184771676276685,1.0469866784197936,1.0953598608040507,2.7590838217047033,-0.4282895663715403,1,1,0.2560628915812454,0.32008023949301245,0.7283789560364764,0.14159303191236705,0.5450580966473877,0.4129198549973798,0.020704955780547984,0.0661972879395396,0.7524501848266878,0.4871244070226658,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1.2364778603818776,-0.22126411023680354,-0.8701833340815202,0.1405047057619635,0.7435500452254252,-0.7049259983890862,2.3348689263480744,0,1,0.5447294642420926,0.5609601957859149,0.7021262960629938,0.6771831485662845,0.24931299015788355,0.9303457392858225,0.45642734085743264,0.4902665526484221,0.8148758768632711,0.4373631566959685,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.9046043153555399,-0.3651681190859368,-1.7645135849361147,0.1405047057619635,1.0953598608040507,1.0270789116578085,2.3348689263480744,0,0,0.15307604778092865,0.8633467841624303,0.138861474088128,0.9282860668037961,0.9736502894164044,0.17271566432822294,0.5884258740439029,0.9018480017081122,0.3435578249263599,0.5933354836376274,0
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,-0.738667542842371,-0.5200598724531074,0.024146916773074168,1.0469866784197936,0.7435500452254252,-0.7049259983890862,-0.4282895663715403,0,1,0.9070766635345735,0.22844570073261616,0.4384400134445601,0.833609917082478,0.05086439836354639,0.19602577838653845,0.6454612595942009,0.7761652089039678,0.6186145925126453,0.07276578473762774,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,-0.9046043153555399,-0.4261323789924662,-0.8701833340815202,-1.6724592395536968,-0.8395941248783899,1.0270789116578085,-0.4282895663715403,0,0,0.15676508243354703,0.32066787994605106,0.402259487891074,0.4775991049724789,0.7140897100694409,0.5384933086280804,0.8499864393438326,0.9356124595813602,0.0968470007982688,0.013481122642299392,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,-1.2364778603818776,-0.6724705222194308,-1.7645135849361147,-0.7659772668958666,0.03993041406817406,-0.7049259983890862,-0.4282895663715403,1,1,0.860251034093876,0.515787140387918,0.9166994625421224,0.050202726340973225,0.1487433571226291,0.9683547708067969,0.8924117748896516,0.5366764419842206,0.8216840849866845,0.35841880822073113,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,-1.2364778603818776,-1.0084828384484417,0.9184771676276685,1.0469866784197936,0.3037877757521432,-0.7049259983890862,-0.4282895663715403,0,1,0.8097907375619292,0.4288172525232542,0.06335715322532154,0.7776141765236024,0.3729180488518766,0.0045559935460703915,0.8098532614421455,0.09856592766091887,0.3433407683020454,0.7086704833977016,0
0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.738667542842371,-1.0145083757647846,0.024146916773074168,0.1405047057619635,0.5676451374361124,1.0270789116578085,-0.4282895663715403,0,1,0.4447222981044705,0.39676177468675644,0.950601665823639,0.09609269033114354,0.9925380192533857,0.839130857372117,0.10848025698432873,0.6715245390912182,0.3261073621788728,0.13260871641171756,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,-1.1535094741252931,-0.3034949724363083,0.024146916773074168,-0.7659772668958666,-0.13597449372113873,-0.7049259983890862,-0.4282895663715403,0,1,0.3149354687200492,0.15930542090123745,0.6012796053020296,0.2396673447448281,0.9557284569489986,0.7846638919814655,0.060328313873336814,0.3407948817343679,0.5477233714729853,0.3858800617928916,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,3.2438149974736814,1.2634991731844265,0.024146916773074168,1.0469866784197936,2.4146466692238966,1.0270789116578085,-0.4282895663715403,1,1,0.8294015587996516,0.34802129868813214,0.5854930245093835,0.10937117293949583,0.4585323623205845,0.5191133476517624,0.03255395436825881,0.7628538584265535,0.18716332371432465,0.6655025258662381,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-0.2408572253028645,-0.48142554495420214,0.024146916773074168,0.1405047057619635,0.03993041406817406,-0.7049259983890862,-0.4282895663715403,1,1,0.4389369602465142,0.13019626568025477,0.6298060627054411,0.547312505333416,0.4928622619045806,0.8708168732209541,0.728443644764676,0.5931429433612028,0.4590281472434258,0.4466370526306872,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0.2569530922366421,0.26538663890078273,-0.8701833340815202,-0.7659772668958666,-0.7516416709837335,-0.7049259983890862,-0.4282895663715403,0,1,0.9324508128639182,0.8222853830109349,0.2494403184273517,0.9893219799825895,0.4625441423116995,0.47789805481629555,0.38693551072475707,0.6317601822859967,0.051326310945752684,0.0982930832979716,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,-0.2408572253028645,0.9196891027813249,-0.8701833340815202,-0.7659772668958666,-0.4877843092997643,1.0270789116578085,-0.4282895663715403,1,1,0.3965467972276482,0.9579377731119239,0.5165257657186733,0.1298874981250273,0.43480981253435946,0.6807044631269374,0.1300508082663937,0.8413999495585606,0.8823316680716009,0.10762720023679839,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.738667542842371,-0.7114592930898858,0.9184771676276685,1.0469866784197936,1.8869319458559584,-0.7049259983890862,-0.4282895663715403,0,1,0.19268342854138132,0.12481225466108936,0.9953495496509095,0.0936484209778401,0.9065839347054592,0.4938420089038289,0.3178828456962707,0.04500407257275385,0.3393863835287517,0.9387889744599788,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-0.738667542842371,-0.637026185064472,0.9184771676276685,-1.6724592395536968,-0.22392694761579512,-0.7049259983890862,-0.4282895663715403,1,1,0.9427780266746395,0.8250447422604297,0.07264451303399111,0.4611855885770192,0.051236437634806564,0.3170402262962517,0.16820131090928714,0.41565414253997024,0.029002284527149813,0.887662033454429,0
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1.999289203624915,0.5227125266457847,0.9184771676276685,-0.7659772668958666,-0.9275465787730462,1.0270789116578085,-0.4282895663715403,0,1,0.5905615044139996,0.15744327743533781,0.49726115322846187,0.7434370891676971,0.15437901748448646,0.8508469273079255,0.8696403578417975,0.6205937621371622,0.1546342572073831,0.9473956481471024,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2.2481943623946683,1.0061732854394247,-1.7645135849361147,0.1405047057619635,-0.3998318554051079,-0.7049259983890862,-0.4282895663715403,1,1,0.28275983030502505,0.34044035479226065,0.06630703148039718,0.38147716382266605,0.04635379825919761,0.33959069517553,0.05527884947791928,0.9794680359674591,0.8861190959094882,0.8943016646973099,0
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,-0.2408572253028645,-0.41514463447442895,0.9184771676276685,-0.7659772668958666,0.12788286796283044,-0.7049259983890862,-0.4282895663715403,0,1,0.8195797072881623,0.010774599707174537,0.46299176301965606,0.47838030208691795,0.9331999809570602,0.8775390244282341,0.900153420560893,0.9663181843071905,0.048518214565112294,0.8195612367771211,1
0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,-0.9046043153555399,-0.7252825845803197,-0.8701833340815202,-0.7659772668958666,0.12788286796283044,-0.7049259983890862,-0.4282895663715403,1,1,0.40207200463735304,0.8875173968885428,0.19649505483387741,0.5543368388897156,0.9535412893875336,0.6779826085830242,0.9346832270090752,0.6838862363878208,0.25049226350787435,0.976788783762946,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,-0.9875727016121243,-0.9971406505588548,0.9184771676276685,0.1405047057619635,-1.0154990326677027,-0.7049259983890862,-0.4282895663715403,0,1,0.7570942253245746,0.3938734223913303,0.5536119560178502,0.2576985437591336,0.658752855919571,0.818955099194011,0.21614437037558698,0.5866818920852115,0.9452990486328481,0.28637763291215645,0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0.7547634097761486,-0.3325593289033746,0.9184771676276685,-0.7659772668958666,-0.4877843092997643,-0.7049259983890862,-0.4282895663715403,0,1,0.8839618410283268,0.8775488507442337,0.6496710710317405,0.31035236108722575,0.16162556294214392,0.6037879994578518,0.3908113715318816,0.4540687470647281,0.5614317434421056,0.6125221527156597,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,-0.738667542842371,-0.7490302904741422,0.024146916773074168,-1.6724592395536968,-0.8395941248783899,-0.7049259983890862,-0.4282895663715403,1,1,0.5168182306561009,0.1990781154588782,0.3713513621851505,0.4179736953636094,0.5874060721466133,0.6033490114231757,0.15979836161845762,0.7523932384919655,0.5764140790249356,0.035103052615387265,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.2408572253028645,1.039490962365086,-0.8701833340815202,1.0469866784197936,0.7435500452254252,-0.7049259983890862,2.3348689263480744,1,1,0.7335672857474359,0.9965808162998641,0.4816900667606745,0.6838576148544048,0.3590030037001076,0.3095675666754969,0.8043063956623678,0.7598816417356264,0.4403727206917323,0.6826292965209353,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.7547634097761486,1.033465425048743,-1.7645135849361147,1.0469866784197936,-1.0154990326677027,1.0270789116578085,-0.4282895663715403,0,1,0.6025946404393773,0.4495372805876552,0.8201666961911833,0.357893995690609,0.5442578667537487,0.4870889630895501,0.5123571020436354,0.16024768845774384,0.08023467321643685,0.9193924444747292,0
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2.2481943623946683,1.0178699167005612,0.9184771676276685,1.0469866784197936,1.9748843997506147,1.0270789116578085,-0.4282895663715403,0,1,0.3752216924462404,0.6804961196865275,0.7447674775160633,0.11118998195160124,0.3682727090372915,0.10061568676376909,0.8041994743809917,0.9405030628004913,0.20860838955458616,0.12057428304749307,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,-0.8216359290989554,-0.6657360981599887,0.9184771676276685,1.0469866784197936,-0.048022039826482336,1.0270789116578085,-0.4282895663715403,0,1,0.5464315032766296,0.7244521501482767,0.3058910435447001,0.5850967701818409,0.9059943669626737,0.6466410948043642,0.09006810235137519,0.2164657638459947,0.6693761846814742,0.325409322276927,0
