0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,-1.2364778603818776,-0.7451314133870967,0.9184771676276685,1.0469866784197936,2.7664564848025224,1.0270789116578085,-0.4282895663715403,1,1,0.6180354640417156,0.8983793228265367,0
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2.2481943623946683,0.9498167893630399,-0.8701833340815202,-0.7659772668958666,-1.1914039404570154,-0.7049259983890862,-0.4282895663715403,0,1,0.4729154661093379,0.5534062484614826,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.738667542842371,-0.4165624079606273,-0.8701833340815202,0.1405047057619635,1.1833123146987072,-0.7049259983890862,2.3348689263480744,0,1,0.502704442839964,0.31582444737776894,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1.7503840448551617,1.634246939825297,-0.8701833340815202,1.0469866784197936,0.8315024991200816,-0.7049259983890862,2.3348689263480744,0,1,0.2653213666961566,0.342329136400608,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.2569530922366421,0.5666635047179338,0.024146916773074168,1.0469866784197936,1.5351221302773328,1.0270789116578085,2.3348689263480744,0,1,0.43363231710197503,0.4339762413269149,1
0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1.2525737273156552,2.0500090146529657,-0.8701833340815202,1.0469866784197936,-0.048022039826482336,-0.7049259983890862,2.3348689263480744,1,1,0.29812195195773517,0.21172411047456818,0
0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0.2569530922366421,-0.1546287563854807,0.024146916773074168,1.0469866784197936,1.5351221302773328,-0.7049259983890862,-0.4282895663715403,0,1,0.7997179234398396,0.061890737201958146,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1.2525737273156552,1.3031968307979807,-0.8701833340815202,-0.7659772668958666,-0.048022039826482336,-0.7049259983890862,-0.4282895663715403,1,1,0.3538858907819221,0.4691834211631547,0
0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,-0.738667542842371,-0.07523344115837269,-0.8701833340815202,1.0469866784197936,2.238741761434584,-0.7049259983890862,-0.4282895663715403,0,1,0.17620136008139287,0.0916963468633637,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0.7547634097761486,0.6956808919619843,0.9184771676276685,-0.7659772668958666,-0.6636892170890771,1.0270789116578085,-0.4282895663715403,0,1,0.336590924155844,0.8279484461847977,1
